,date,state,deaths,cases
1999,2020-04-20,Río Negro,43.0,2.0
33,2020-04-20,Buenos Aires,832.0,11.0
914,2020-04-21,Córdoba,138.0,1.0
2819,2020-04-21,Tierra del Fuego,18.0,1.0
1605,2020-04-21,Mendoza,18.0,1.0
34,2020-04-21,Buenos Aires,548.0,14.0
1863,2020-04-21,Neuquén,23.0,1.0
293,2020-04-21,CABA,390.0,10.0
539,2020-04-21,Chaco,47.0,3.0
755,2020-04-21,Chubut,5.0,1.0
1087,2020-04-21,Entre Ríos,14.0,3.0
2932,2020-04-21,Tucumán,35.0,1.0
1473,2020-04-21,La Rioja,8.0,2.0
915,2020-04-22,Córdoba,155.0,1.0
1088,2020-04-22,Entre Ríos,13.0,1.0
35,2020-04-22,Buenos Aires,606.0,21.0
540,2020-04-22,Chaco,43.0,1.0
294,2020-04-22,CABA,411.0,10.0
1474,2020-04-22,La Rioja,7.0,1.0
1779,2020-04-23,Misiones,1.0,1.0
916,2020-04-23,Córdoba,155.0,1.0
541,2020-04-23,Chaco,38.0,1.0
1089,2020-04-23,Entre Ríos,9.0,1.0
1606,2020-04-23,Mendoza,17.0,3.0
36,2020-04-23,Buenos Aires,600.0,18.0
2576,2020-04-23,Santa Fe,82.0,1.0
295,2020-04-23,CABA,390.0,10.0
1864,2020-04-24,Neuquén,18.0,1.0
917,2020-04-24,Córdoba,155.0,1.0
1090,2020-04-24,Entre Ríos,19.0,1.0
296,2020-04-24,CABA,450.0,13.0
2000,2020-04-24,Río Negro,28.0,1.0
37,2020-04-24,Buenos Aires,611.0,16.0
542,2020-04-24,Chaco,35.0,2.0
38,2020-04-25,Buenos Aires,541.0,12.0
2001,2020-04-25,Río Negro,25.0,1.0
543,2020-04-25,Chaco,44.0,1.0
2577,2020-04-25,Santa Fe,67.0,3.0
918,2020-04-25,Córdoba,105.0,1.0
297,2020-04-25,CABA,381.0,13.0
1410,2020-04-25,La Pampa,1.0,1.0
39,2020-04-26,Buenos Aires,567.0,15.0
298,2020-04-26,CABA,378.0,9.0
2578,2020-04-26,Santa Fe,59.0,1.0
299,2020-04-27,CABA,441.0,13.0
2579,2020-04-27,Santa Fe,75.0,1.0
544,2020-04-27,Chaco,50.0,1.0
40,2020-04-27,Buenos Aires,599.0,29.0
2454,2020-04-27,Santa Cruz,5.0,1.0
2002,2020-04-27,Río Negro,41.0,1.0
919,2020-04-27,Córdoba,153.0,3.0
1865,2020-04-27,Neuquén,15.0,1.0
2933,2020-04-27,Tucumán,21.0,1.0
1607,2020-04-27,Mendoza,11.0,2.0
1091,2020-04-27,Entre Ríos,10.0,1.0
1092,2020-04-28,Entre Ríos,15.0,1.0
1866,2020-04-28,Neuquén,22.0,1.0
545,2020-04-28,Chaco,39.0,2.0
1608,2020-04-28,Mendoza,15.0,4.0
300,2020-04-28,CABA,391.0,15.0
41,2020-04-28,Buenos Aires,562.0,14.0
920,2020-04-28,Córdoba,149.0,2.0
2003,2020-04-29,Río Negro,21.0,1.0
2455,2020-04-29,Santa Cruz,4.0,1.0
546,2020-04-29,Chaco,46.0,1.0
301,2020-04-29,CABA,343.0,15.0
2580,2020-04-29,Santa Fe,64.0,2.0
42,2020-04-29,Buenos Aires,439.0,8.0
1609,2020-04-30,Mendoza,22.0,1.0
1093,2020-04-30,Entre Ríos,14.0,2.0
43,2020-04-30,Buenos Aires,515.0,12.0
1780,2020-04-30,Misiones,5.0,1.0
302,2020-04-30,CABA,417.0,15.0
547,2020-05-01,Chaco,62.0,4.0
1610,2020-05-01,Mendoza,24.0,1.0
303,2020-05-01,CABA,546.0,17.0
1411,2020-05-01,La Pampa,3.0,1.0
44,2020-05-01,Buenos Aires,577.0,16.0
921,2020-05-01,Córdoba,153.0,2.0
922,2020-05-02,Córdoba,129.0,3.0
304,2020-05-02,CABA,377.0,8.0
45,2020-05-02,Buenos Aires,469.0,9.0
1867,2020-05-02,Neuquén,18.0,1.0
1094,2020-05-02,Entre Ríos,12.0,2.0
548,2020-05-02,Chaco,66.0,4.0
2176,2020-05-03,Salta,1.0,2.0
46,2020-05-03,Buenos Aires,499.0,16.0
305,2020-05-03,CABA,434.0,9.0
549,2020-05-03,Chaco,64.0,3.0
2004,2020-05-03,Río Negro,19.0,1.0
1611,2020-05-03,Mendoza,13.0,2.0
923,2020-05-04,Córdoba,195.0,3.0
47,2020-05-04,Buenos Aires,551.0,11.0
550,2020-05-04,Chaco,63.0,3.0
2005,2020-05-04,Río Negro,26.0,2.0
306,2020-05-04,CABA,429.0,11.0
924,2020-05-05,Córdoba,146.0,2.0
551,2020-05-05,Chaco,70.0,1.0
1781,2020-05-05,Misiones,1.0,1.0
307,2020-05-05,CABA,492.0,6.0
756,2020-05-05,Chubut,5.0,3.0
48,2020-05-05,Buenos Aires,580.0,7.0
1095,2020-05-05,Entre Ríos,9.0,2.0
2820,2020-05-06,Tierra del Fuego,5.0,1.0
552,2020-05-06,Chaco,70.0,3.0
1612,2020-05-06,Mendoza,15.0,1.0
49,2020-05-06,Buenos Aires,545.0,15.0
2006,2020-05-06,Río Negro,27.0,1.0
308,2020-05-06,CABA,504.0,8.0
553,2020-05-07,Chaco,56.0,1.0
2581,2020-05-07,Santa Fe,50.0,1.0
309,2020-05-07,CABA,506.0,10.0
1096,2020-05-07,Entre Ríos,10.0,1.0
1475,2020-05-07,La Rioja,9.0,1.0
1412,2020-05-07,La Pampa,5.0,1.0
50,2020-05-07,Buenos Aires,546.0,22.0
2582,2020-05-08,Santa Fe,47.0,1.0
1097,2020-05-08,Entre Ríos,7.0,1.0
51,2020-05-08,Buenos Aires,569.0,10.0
2934,2020-05-08,Tucumán,14.0,1.0
310,2020-05-08,CABA,544.0,9.0
1613,2020-05-08,Mendoza,20.0,1.0
554,2020-05-08,Chaco,66.0,2.0
1476,2020-05-08,La Rioja,10.0,1.0
52,2020-05-09,Buenos Aires,555.0,17.0
1098,2020-05-09,Entre Ríos,13.0,2.0
311,2020-05-09,CABA,492.0,13.0
2007,2020-05-09,Río Negro,28.0,1.0
2583,2020-05-09,Santa Fe,44.0,1.0
555,2020-05-09,Chaco,70.0,1.0
2008,2020-05-10,Río Negro,30.0,1.0
2584,2020-05-10,Santa Fe,66.0,1.0
312,2020-05-10,CABA,635.0,17.0
53,2020-05-10,Buenos Aires,720.0,15.0
556,2020-05-10,Chaco,87.0,2.0
1614,2020-05-10,Mendoza,31.0,4.0
2585,2020-05-11,Santa Fe,65.0,1.0
925,2020-05-11,Córdoba,149.0,1.0
1099,2020-05-11,Entre Ríos,22.0,1.0
557,2020-05-11,Chaco,100.0,4.0
313,2020-05-11,CABA,672.0,11.0
54,2020-05-11,Buenos Aires,709.0,18.0
2821,2020-05-11,Tierra del Fuego,11.0,1.0
55,2020-05-12,Buenos Aires,710.0,15.0
314,2020-05-12,CABA,641.0,14.0
558,2020-05-12,Chaco,74.0,2.0
56,2020-05-13,Buenos Aires,687.0,14.0
315,2020-05-13,CABA,621.0,13.0
2586,2020-05-13,Santa Fe,65.0,1.0
2009,2020-05-13,Río Negro,27.0,1.0
1100,2020-05-13,Entre Ríos,12.0,1.0
559,2020-05-13,Chaco,74.0,2.0
1782,2020-05-13,Misiones,1.0,1.0
2935,2020-05-13,Tucumán,14.0,1.0
1615,2020-05-14,Mendoza,13.0,1.0
560,2020-05-14,Chaco,47.0,1.0
2177,2020-05-14,Salta,4.0,1.0
316,2020-05-14,CABA,662.0,3.0
926,2020-05-14,Córdoba,151.0,2.0
57,2020-05-14,Buenos Aires,706.0,20.0
1101,2020-05-15,Entre Ríos,15.0,1.0
2010,2020-05-15,Río Negro,36.0,1.0
757,2020-05-15,Chubut,12.0,1.0
561,2020-05-15,Chaco,101.0,5.0
1783,2020-05-15,Misiones,1.0,1.0
58,2020-05-15,Buenos Aires,844.0,19.0
317,2020-05-15,CABA,788.0,10.0
59,2020-05-16,Buenos Aires,793.0,19.0
1102,2020-05-16,Entre Ríos,17.0,1.0
2011,2020-05-16,Río Negro,29.0,1.0
1413,2020-05-16,La Pampa,8.0,1.0
758,2020-05-16,Chubut,4.0,1.0
318,2020-05-16,CABA,667.0,13.0
562,2020-05-16,Chaco,78.0,3.0
1103,2020-05-17,Entre Ríos,21.0,1.0
927,2020-05-17,Córdoba,156.0,1.0
563,2020-05-17,Chaco,57.0,2.0
759,2020-05-17,Chubut,3.0,1.0
1477,2020-05-17,La Rioja,14.0,1.0
319,2020-05-17,CABA,769.0,14.0
60,2020-05-17,Buenos Aires,798.0,12.0
1104,2020-05-18,Entre Ríos,19.0,1.0
2587,2020-05-18,Santa Fe,75.0,1.0
1616,2020-05-18,Mendoza,24.0,1.0
760,2020-05-18,Chubut,7.0,1.0
61,2020-05-18,Buenos Aires,1071.0,17.0
564,2020-05-18,Chaco,70.0,5.0
320,2020-05-18,CABA,983.0,8.0
928,2020-05-18,Córdoba,192.0,1.0
929,2020-05-19,Córdoba,182.0,1.0
2012,2020-05-19,Río Negro,28.0,1.0
62,2020-05-19,Buenos Aires,894.0,14.0
2178,2020-05-19,Salta,4.0,2.0
565,2020-05-19,Chaco,62.0,1.0
321,2020-05-19,CABA,809.0,7.0
63,2020-05-20,Buenos Aires,1158.0,24.0
1617,2020-05-20,Mendoza,19.0,1.0
2588,2020-05-20,Santa Fe,62.0,1.0
761,2020-05-20,Chubut,9.0,1.0
930,2020-05-20,Córdoba,273.0,1.0
566,2020-05-20,Chaco,84.0,2.0
1478,2020-05-20,La Rioja,4.0,1.0
1105,2020-05-20,Entre Ríos,13.0,2.0
2456,2020-05-20,Santa Cruz,3.0,1.0
322,2020-05-20,CABA,977.0,15.0
64,2020-05-21,Buenos Aires,813.0,18.0
2013,2020-05-21,Río Negro,21.0,1.0
931,2020-05-21,Córdoba,157.0,1.0
323,2020-05-21,CABA,800.0,17.0
1784,2020-05-21,Misiones,4.0,1.0
2822,2020-05-21,Tierra del Fuego,6.0,1.0
324,2020-05-22,CABA,857.0,13.0
932,2020-05-22,Córdoba,152.0,1.0
65,2020-05-22,Buenos Aires,987.0,25.0
567,2020-05-22,Chaco,61.0,4.0
1106,2020-05-22,Entre Ríos,16.0,1.0
2014,2020-05-22,Río Negro,36.0,3.0
66,2020-05-23,Buenos Aires,922.0,10.0
2589,2020-05-23,Santa Fe,48.0,1.0
325,2020-05-23,CABA,864.0,13.0
568,2020-05-23,Chaco,82.0,1.0
2590,2020-05-24,Santa Fe,50.0,1.0
1785,2020-05-24,Misiones,3.0,1.0
326,2020-05-24,CABA,760.0,20.0
569,2020-05-24,Chaco,65.0,1.0
854,2020-05-24,Corrientes,1.0,1.0
1107,2020-05-24,Entre Ríos,13.0,1.0
933,2020-05-24,Córdoba,158.0,1.0
67,2020-05-24,Buenos Aires,1012.0,12.0
1618,2020-05-24,Mendoza,9.0,1.0
1108,2020-05-25,Entre Ríos,15.0,1.0
2730,2020-05-25,Santiago del Estero,4.0,1.0
2015,2020-05-25,Río Negro,29.0,2.0
2591,2020-05-25,Santa Fe,85.0,1.0
1619,2020-05-25,Mendoza,20.0,2.0
2823,2020-05-25,Tierra del Fuego,6.0,1.0
327,2020-05-25,CABA,942.0,14.0
2936,2020-05-25,Tucumán,13.0,2.0
570,2020-05-25,Chaco,90.0,2.0
68,2020-05-25,Buenos Aires,1252.0,23.0
934,2020-05-26,Córdoba,200.0,2.0
328,2020-05-26,CABA,876.0,14.0
1109,2020-05-26,Entre Ríos,18.0,2.0
571,2020-05-26,Chaco,71.0,2.0
69,2020-05-26,Buenos Aires,1234.0,17.0
1620,2020-05-26,Mendoza,20.0,3.0
1868,2020-05-26,Neuquén,19.0,1.0
70,2020-05-27,Buenos Aires,1150.0,17.0
2592,2020-05-27,Santa Fe,49.0,2.0
572,2020-05-27,Chaco,52.0,2.0
329,2020-05-27,CABA,833.0,10.0
1786,2020-05-27,Misiones,4.0,1.0
1110,2020-05-27,Entre Ríos,8.0,1.0
1621,2020-05-28,Mendoza,12.0,2.0
1479,2020-05-28,La Rioja,8.0,1.0
573,2020-05-28,Chaco,73.0,6.0
2179,2020-05-28,Salta,2.0,1.0
1787,2020-05-28,Misiones,5.0,1.0
2378,2020-05-28,San Luis,5.0,1.0
330,2020-05-28,CABA,812.0,17.0
71,2020-05-28,Buenos Aires,1182.0,17.0
574,2020-05-29,Chaco,73.0,2.0
331,2020-05-29,CABA,799.0,19.0
1622,2020-05-29,Mendoza,23.0,1.0
72,2020-05-29,Buenos Aires,1090.0,14.0
1480,2020-05-29,La Rioja,10.0,2.0
575,2020-05-30,Chaco,58.0,2.0
2937,2020-05-30,Tucumán,9.0,2.0
1111,2020-05-30,Entre Ríos,22.0,2.0
73,2020-05-30,Buenos Aires,1031.0,21.0
332,2020-05-30,CABA,762.0,19.0
1788,2020-05-30,Misiones,5.0,1.0
1414,2020-05-31,La Pampa,1.0,1.0
935,2020-05-31,Córdoba,121.0,1.0
333,2020-05-31,CABA,665.0,10.0
1789,2020-05-31,Misiones,3.0,1.0
74,2020-05-31,Buenos Aires,955.0,23.0
576,2020-05-31,Chaco,56.0,3.0
2016,2020-05-31,Río Negro,12.0,1.0
1112,2020-05-31,Entre Ríos,20.0,1.0
2457,2020-06-01,Santa Cruz,9.0,1.0
1113,2020-06-01,Entre Ríos,29.0,1.0
334,2020-06-01,CABA,1192.0,14.0
75,2020-06-01,Buenos Aires,1750.0,30.0
577,2020-06-01,Chaco,74.0,5.0
2593,2020-06-02,Santa Fe,62.0,1.0
76,2020-06-02,Buenos Aires,1403.0,24.0
578,2020-06-02,Chaco,63.0,2.0
2731,2020-06-02,Santiago del Estero,6.0,1.0
1114,2020-06-02,Entre Ríos,29.0,2.0
1869,2020-06-02,Neuquén,18.0,1.0
335,2020-06-02,CABA,883.0,14.0
1623,2020-06-02,Mendoza,23.0,1.0
936,2020-06-02,Córdoba,151.0,1.0
77,2020-06-03,Buenos Aires,1517.0,27.0
855,2020-06-03,Corrientes,1.0,1.0
2017,2020-06-03,Río Negro,21.0,2.0
336,2020-06-03,CABA,902.0,20.0
579,2020-06-03,Chaco,80.0,3.0
1870,2020-06-03,Neuquén,10.0,1.0
937,2020-06-03,Córdoba,126.0,1.0
580,2020-06-04,Chaco,78.0,2.0
2458,2020-06-04,Santa Cruz,5.0,1.0
337,2020-06-04,CABA,952.0,26.0
856,2020-06-04,Corrientes,1.0,1.0
78,2020-06-04,Buenos Aires,1425.0,27.0
1115,2020-06-04,Entre Ríos,33.0,3.0
2180,2020-06-05,Salta,5.0,1.0
1790,2020-06-05,Misiones,14.0,2.0
79,2020-06-05,Buenos Aires,1463.0,22.0
938,2020-06-05,Córdoba,181.0,1.0
581,2020-06-05,Chaco,104.0,3.0
338,2020-06-05,CABA,1018.0,21.0
1116,2020-06-05,Entre Ríos,36.0,3.0
2938,2020-06-05,Tucumán,19.0,1.0
2459,2020-06-05,Santa Cruz,4.0,1.0
582,2020-06-06,Chaco,69.0,1.0
1481,2020-06-06,La Rioja,12.0,2.0
80,2020-06-06,Buenos Aires,1536.0,25.0
1791,2020-06-06,Misiones,8.0,1.0
2018,2020-06-06,Río Negro,21.0,1.0
339,2020-06-06,CABA,1069.0,25.0
1117,2020-06-06,Entre Ríos,34.0,2.0
81,2020-06-07,Buenos Aires,1445.0,30.0
340,2020-06-07,CABA,1041.0,15.0
1792,2020-06-07,Misiones,9.0,1.0
2181,2020-06-07,Salta,4.0,1.0
2019,2020-06-07,Río Negro,38.0,1.0
1118,2020-06-07,Entre Ríos,33.0,1.0
583,2020-06-07,Chaco,92.0,1.0
2594,2020-06-07,Santa Fe,56.0,1.0
1624,2020-06-07,Mendoza,18.0,1.0
341,2020-06-08,CABA,1284.0,23.0
2020,2020-06-08,Río Negro,38.0,3.0
584,2020-06-08,Chaco,93.0,3.0
82,2020-06-08,Buenos Aires,1830.0,41.0
2379,2020-06-08,San Luis,6.0,2.0
1793,2020-06-08,Misiones,11.0,2.0
2732,2020-06-08,Santiago del Estero,2.0,1.0
2939,2020-06-08,Tucumán,23.0,1.0
1119,2020-06-09,Entre Ríos,37.0,1.0
342,2020-06-09,CABA,1175.0,20.0
83,2020-06-09,Buenos Aires,1774.0,26.0
1794,2020-06-10,Misiones,13.0,1.0
343,2020-06-10,CABA,1328.0,28.0
1120,2020-06-10,Entre Ríos,45.0,1.0
2021,2020-06-10,Río Negro,51.0,1.0
84,2020-06-10,Buenos Aires,2284.0,26.0
585,2020-06-10,Chaco,116.0,5.0
762,2020-06-10,Chubut,20.0,1.0
1795,2020-06-11,Misiones,14.0,1.0
344,2020-06-11,CABA,1188.0,28.0
586,2020-06-11,Chaco,80.0,1.0
1625,2020-06-11,Mendoza,26.0,1.0
2022,2020-06-11,Río Negro,43.0,3.0
85,2020-06-11,Buenos Aires,1753.0,25.0
1121,2020-06-11,Entre Ríos,26.0,1.0
2023,2020-06-12,Río Negro,43.0,1.0
939,2020-06-12,Córdoba,207.0,3.0
86,2020-06-12,Buenos Aires,2030.0,27.0
1122,2020-06-12,Entre Ríos,50.0,1.0
1871,2020-06-12,Neuquén,14.0,1.0
