,date,prov_x,deaths,cases,lats,lons
1778,2020-04-18,Misiones,1.0,1.0,-26.8753965086829,-54.6516966230371
290,2020-04-18,CABA,370.0,4.0,-34.6144934119689,-58.4458563545429
32,2020-04-19,Buenos Aires,560.0,14.0,-36.6769415180527,-60.55883198157189
912,2020-04-19,Córdoba,103.0,1.0,-32.142932663607,-63.8017532741662
2575,2020-04-19,Santa Fe,90.0,3.0,-30.7069271588117,-60.9498369430241
537,2020-04-19,Chaco,43.0,3.0,-26.3864309061226,-60.76583074386029
291,2020-04-19,CABA,353.0,10.0,-34.6144934119689,-58.4458563545429
1085,2020-04-19,Entre Ríos,12.0,1.0,-32.0588735436448,-59.2014475514635
1604,2020-04-19,Mendoza,16.0,3.0,-34.6298873058957,-68.58312281837979
754,2020-04-19,Chubut,1.0,1.0,-43.7886233529878,-68.52675939433449
1998,2020-04-19,Río Negro,33.0,1.0,-40.4057957178801,-67.229329893694
913,2020-04-20,Córdoba,190.0,2.0,-32.142932663607,-63.8017532741662
538,2020-04-20,Chaco,83.0,1.0,-26.3864309061226,-60.76583074386029
1086,2020-04-20,Entre Ríos,22.0,4.0,-32.0588735436448,-59.2014475514635
1862,2020-04-20,Neuquén,18.0,1.0,-38.641757582459896,-70.1185705180601
1409,2020-04-20,La Pampa,3.0,1.0,-37.1315537735949,-65.4466546606951
292,2020-04-20,CABA,465.0,10.0,-34.6144934119689,-58.4458563545429
1999,2020-04-20,Río Negro,43.0,2.0,-40.4057957178801,-67.229329893694
33,2020-04-20,Buenos Aires,832.0,11.0,-36.6769415180527,-60.55883198157189
914,2020-04-21,Córdoba,138.0,1.0,-32.142932663607,-63.8017532741662
2819,2020-04-21,Tierra del Fuego,18.0,1.0,-82.52151781220999,-50.7427486049785
1605,2020-04-21,Mendoza,18.0,1.0,-34.6298873058957,-68.58312281837979
34,2020-04-21,Buenos Aires,548.0,14.0,-36.6769415180527,-60.55883198157189
1863,2020-04-21,Neuquén,23.0,1.0,-38.641757582459896,-70.1185705180601
293,2020-04-21,CABA,390.0,10.0,-34.6144934119689,-58.4458563545429
539,2020-04-21,Chaco,47.0,3.0,-26.3864309061226,-60.76583074386029
755,2020-04-21,Chubut,5.0,1.0,-43.7886233529878,-68.52675939433449
1087,2020-04-21,Entre Ríos,14.0,3.0,-32.0588735436448,-59.2014475514635
2932,2020-04-21,Tucumán,35.0,1.0,-26.947800183078602,-65.3647579441481
1473,2020-04-21,La Rioja,8.0,2.0,-29.685776298315,-67.18173596944321
915,2020-04-22,Córdoba,155.0,1.0,-32.142932663607,-63.8017532741662
1088,2020-04-22,Entre Ríos,13.0,1.0,-32.0588735436448,-59.2014475514635
35,2020-04-22,Buenos Aires,606.0,21.0,-36.6769415180527,-60.55883198157189
540,2020-04-22,Chaco,43.0,1.0,-26.3864309061226,-60.76583074386029
294,2020-04-22,CABA,411.0,10.0,-34.6144934119689,-58.4458563545429
1474,2020-04-22,La Rioja,7.0,1.0,-29.685776298315,-67.18173596944321
1779,2020-04-23,Misiones,1.0,1.0,-26.8753965086829,-54.6516966230371
916,2020-04-23,Córdoba,155.0,1.0,-32.142932663607,-63.8017532741662
541,2020-04-23,Chaco,38.0,1.0,-26.3864309061226,-60.76583074386029
1089,2020-04-23,Entre Ríos,9.0,1.0,-32.0588735436448,-59.2014475514635
1606,2020-04-23,Mendoza,17.0,3.0,-34.6298873058957,-68.58312281837979
36,2020-04-23,Buenos Aires,600.0,18.0,-36.6769415180527,-60.55883198157189
2576,2020-04-23,Santa Fe,82.0,1.0,-30.7069271588117,-60.9498369430241
295,2020-04-23,CABA,390.0,10.0,-34.6144934119689,-58.4458563545429
1864,2020-04-24,Neuquén,18.0,1.0,-38.641757582459896,-70.1185705180601
917,2020-04-24,Córdoba,155.0,1.0,-32.142932663607,-63.8017532741662
1090,2020-04-24,Entre Ríos,19.0,1.0,-32.0588735436448,-59.2014475514635
296,2020-04-24,CABA,450.0,13.0,-34.6144934119689,-58.4458563545429
2000,2020-04-24,Río Negro,28.0,1.0,-40.4057957178801,-67.229329893694
37,2020-04-24,Buenos Aires,611.0,16.0,-36.6769415180527,-60.55883198157189
542,2020-04-24,Chaco,35.0,2.0,-26.3864309061226,-60.76583074386029
38,2020-04-25,Buenos Aires,541.0,12.0,-36.6769415180527,-60.55883198157189
2001,2020-04-25,Río Negro,25.0,1.0,-40.4057957178801,-67.229329893694
543,2020-04-25,Chaco,44.0,1.0,-26.3864309061226,-60.76583074386029
2577,2020-04-25,Santa Fe,67.0,3.0,-30.7069271588117,-60.9498369430241
918,2020-04-25,Córdoba,105.0,1.0,-32.142932663607,-63.8017532741662
297,2020-04-25,CABA,381.0,13.0,-34.6144934119689,-58.4458563545429
1410,2020-04-25,La Pampa,1.0,1.0,-37.1315537735949,-65.4466546606951
39,2020-04-26,Buenos Aires,567.0,15.0,-36.6769415180527,-60.55883198157189
298,2020-04-26,CABA,378.0,9.0,-34.6144934119689,-58.4458563545429
2578,2020-04-26,Santa Fe,59.0,1.0,-30.7069271588117,-60.9498369430241
299,2020-04-27,CABA,441.0,13.0,-34.6144934119689,-58.4458563545429
2579,2020-04-27,Santa Fe,75.0,1.0,-30.7069271588117,-60.9498369430241
544,2020-04-27,Chaco,50.0,1.0,-26.3864309061226,-60.76583074386029
40,2020-04-27,Buenos Aires,599.0,29.0,-36.6769415180527,-60.55883198157189
2454,2020-04-27,Santa Cruz,5.0,1.0,-48.8154851827063,-69.95576216719729
2002,2020-04-27,Río Negro,41.0,1.0,-40.4057957178801,-67.229329893694
919,2020-04-27,Córdoba,153.0,3.0,-32.142932663607,-63.8017532741662
1865,2020-04-27,Neuquén,15.0,1.0,-38.641757582459896,-70.1185705180601
2933,2020-04-27,Tucumán,21.0,1.0,-26.947800183078602,-65.3647579441481
1607,2020-04-27,Mendoza,11.0,2.0,-34.6298873058957,-68.58312281837979
1091,2020-04-27,Entre Ríos,10.0,1.0,-32.0588735436448,-59.2014475514635
1092,2020-04-28,Entre Ríos,15.0,1.0,-32.0588735436448,-59.2014475514635
1866,2020-04-28,Neuquén,22.0,1.0,-38.641757582459896,-70.1185705180601
545,2020-04-28,Chaco,39.0,2.0,-26.3864309061226,-60.76583074386029
1608,2020-04-28,Mendoza,15.0,4.0,-34.6298873058957,-68.58312281837979
300,2020-04-28,CABA,391.0,15.0,-34.6144934119689,-58.4458563545429
41,2020-04-28,Buenos Aires,562.0,14.0,-36.6769415180527,-60.55883198157189
920,2020-04-28,Córdoba,149.0,2.0,-32.142932663607,-63.8017532741662
2003,2020-04-29,Río Negro,21.0,1.0,-40.4057957178801,-67.229329893694
2455,2020-04-29,Santa Cruz,4.0,1.0,-48.8154851827063,-69.95576216719729
546,2020-04-29,Chaco,46.0,1.0,-26.3864309061226,-60.76583074386029
301,2020-04-29,CABA,343.0,15.0,-34.6144934119689,-58.4458563545429
2580,2020-04-29,Santa Fe,64.0,2.0,-30.7069271588117,-60.9498369430241
42,2020-04-29,Buenos Aires,439.0,8.0,-36.6769415180527,-60.55883198157189
1609,2020-04-30,Mendoza,22.0,1.0,-34.6298873058957,-68.58312281837979
1093,2020-04-30,Entre Ríos,14.0,2.0,-32.0588735436448,-59.2014475514635
43,2020-04-30,Buenos Aires,515.0,12.0,-36.6769415180527,-60.55883198157189
1780,2020-04-30,Misiones,5.0,1.0,-26.8753965086829,-54.6516966230371
302,2020-04-30,CABA,417.0,15.0,-34.6144934119689,-58.4458563545429
547,2020-05-01,Chaco,62.0,4.0,-26.3864309061226,-60.76583074386029
