,date,prov_x,deaths,cases,lats,lons,mes
1089,2020-04-20,Entre Ríos,22.0,4.0,-32.0588735436448,-59.2014475514635,04
34,2020-04-21,Buenos Aires,548.0,14.0,-36.6769415180527,-60.55883198157189,04
2823,2020-04-21,Tierra del Fuego,18.0,1.0,-82.52151781220999,-50.7427486049785,04
1608,2020-04-21,Mendoza,18.0,1.0,-34.6298873058957,-68.58312281837979,04
294,2020-04-21,CABA,390.0,10.0,-34.6144934119689,-58.4458563545429,04
2936,2020-04-21,Tucumán,35.0,1.0,-26.947800183078602,-65.3647579441481,04
917,2020-04-21,Córdoba,138.0,1.0,-32.142932663607,-63.8017532741662,04
1090,2020-04-21,Entre Ríos,14.0,3.0,-32.0588735436448,-59.2014475514635,04
1866,2020-04-21,Neuquén,23.0,1.0,-38.641757582459896,-70.1185705180601,04
1476,2020-04-21,La Rioja,8.0,2.0,-29.685776298315,-67.18173596944321,04
541,2020-04-21,Chaco,47.0,3.0,-26.3864309061226,-60.76583074386029,04
757,2020-04-21,Chubut,5.0,1.0,-43.7886233529878,-68.52675939433449,04
1091,2020-04-22,Entre Ríos,13.0,1.0,-32.0588735436448,-59.2014475514635,04
35,2020-04-22,Buenos Aires,606.0,21.0,-36.6769415180527,-60.55883198157189,04
918,2020-04-22,Córdoba,155.0,1.0,-32.142932663607,-63.8017532741662,04
1477,2020-04-22,La Rioja,7.0,1.0,-29.685776298315,-67.18173596944321,04
542,2020-04-22,Chaco,43.0,1.0,-26.3864309061226,-60.76583074386029,04
295,2020-04-22,CABA,411.0,10.0,-34.6144934119689,-58.4458563545429,04
2580,2020-04-23,Santa Fe,82.0,1.0,-30.7069271588117,-60.9498369430241,04
296,2020-04-23,CABA,390.0,10.0,-34.6144934119689,-58.4458563545429,04
1782,2020-04-23,Misiones,1.0,1.0,-26.8753965086829,-54.6516966230371,04
1609,2020-04-23,Mendoza,17.0,3.0,-34.6298873058957,-68.58312281837979,04
1092,2020-04-23,Entre Ríos,9.0,1.0,-32.0588735436448,-59.2014475514635,04
919,2020-04-23,Córdoba,155.0,1.0,-32.142932663607,-63.8017532741662,04
543,2020-04-23,Chaco,38.0,1.0,-26.3864309061226,-60.76583074386029,04
36,2020-04-23,Buenos Aires,600.0,18.0,-36.6769415180527,-60.55883198157189,04
1867,2020-04-24,Neuquén,18.0,1.0,-38.641757582459896,-70.1185705180601,04
37,2020-04-24,Buenos Aires,611.0,16.0,-36.6769415180527,-60.55883198157189,04
544,2020-04-24,Chaco,35.0,2.0,-26.3864309061226,-60.76583074386029,04
920,2020-04-24,Córdoba,155.0,1.0,-32.142932663607,-63.8017532741662,04
297,2020-04-24,CABA,450.0,13.0,-34.6144934119689,-58.4458563545429,04
2003,2020-04-24,Río Negro,28.0,1.0,-40.4057957178801,-67.229329893694,04
1093,2020-04-24,Entre Ríos,19.0,1.0,-32.0588735436448,-59.2014475514635,04
38,2020-04-25,Buenos Aires,541.0,12.0,-36.6769415180527,-60.55883198157189,04
2581,2020-04-25,Santa Fe,67.0,3.0,-30.7069271588117,-60.9498369430241,04
2004,2020-04-25,Río Negro,25.0,1.0,-40.4057957178801,-67.229329893694,04
1413,2020-04-25,La Pampa,1.0,1.0,-37.1315537735949,-65.4466546606951,04
921,2020-04-25,Córdoba,105.0,1.0,-32.142932663607,-63.8017532741662,04
298,2020-04-25,CABA,381.0,13.0,-34.6144934119689,-58.4458563545429,04
545,2020-04-25,Chaco,44.0,1.0,-26.3864309061226,-60.76583074386029,04
299,2020-04-26,CABA,378.0,9.0,-34.6144934119689,-58.4458563545429,04
2582,2020-04-26,Santa Fe,59.0,1.0,-30.7069271588117,-60.9498369430241,04
39,2020-04-26,Buenos Aires,567.0,15.0,-36.6769415180527,-60.55883198157189,04
2937,2020-04-27,Tucumán,21.0,1.0,-26.947800183078602,-65.3647579441481,04
40,2020-04-27,Buenos Aires,599.0,29.0,-36.6769415180527,-60.55883198157189,04
2458,2020-04-27,Santa Cruz,5.0,1.0,-48.8154851827063,-69.95576216719729,04
1868,2020-04-27,Neuquén,15.0,1.0,-38.641757582459896,-70.1185705180601,04
922,2020-04-27,Córdoba,153.0,3.0,-32.142932663607,-63.8017532741662,04
2583,2020-04-27,Santa Fe,75.0,1.0,-30.7069271588117,-60.9498369430241,04
546,2020-04-27,Chaco,50.0,1.0,-26.3864309061226,-60.76583074386029,04
2005,2020-04-27,Río Negro,41.0,1.0,-40.4057957178801,-67.229329893694,04
1094,2020-04-27,Entre Ríos,10.0,1.0,-32.0588735436448,-59.2014475514635,04
300,2020-04-27,CABA,441.0,13.0,-34.6144934119689,-58.4458563545429,04
1610,2020-04-27,Mendoza,11.0,2.0,-34.6298873058957,-68.58312281837979,04
1611,2020-04-28,Mendoza,15.0,4.0,-34.6298873058957,-68.58312281837979,04
547,2020-04-28,Chaco,39.0,2.0,-26.3864309061226,-60.76583074386029,04
1869,2020-04-28,Neuquén,22.0,1.0,-38.641757582459896,-70.1185705180601,04
301,2020-04-28,CABA,391.0,15.0,-34.6144934119689,-58.4458563545429,04
41,2020-04-28,Buenos Aires,562.0,14.0,-36.6769415180527,-60.55883198157189,04
1095,2020-04-28,Entre Ríos,15.0,1.0,-32.0588735436448,-59.2014475514635,04
923,2020-04-28,Córdoba,149.0,2.0,-32.142932663607,-63.8017532741662,04
2584,2020-04-29,Santa Fe,64.0,2.0,-30.7069271588117,-60.9498369430241,04
302,2020-04-29,CABA,343.0,15.0,-34.6144934119689,-58.4458563545429,04
2006,2020-04-29,Río Negro,21.0,1.0,-40.4057957178801,-67.229329893694,04
42,2020-04-29,Buenos Aires,439.0,8.0,-36.6769415180527,-60.55883198157189,04
548,2020-04-29,Chaco,46.0,1.0,-26.3864309061226,-60.76583074386029,04
2459,2020-04-29,Santa Cruz,4.0,1.0,-48.8154851827063,-69.95576216719729,04
43,2020-04-30,Buenos Aires,515.0,12.0,-36.6769415180527,-60.55883198157189,04
1783,2020-04-30,Misiones,5.0,1.0,-26.8753965086829,-54.6516966230371,04
303,2020-04-30,CABA,417.0,15.0,-34.6144934119689,-58.4458563545429,04
1096,2020-04-30,Entre Ríos,14.0,2.0,-32.0588735436448,-59.2014475514635,04
1612,2020-04-30,Mendoza,22.0,1.0,-34.6298873058957,-68.58312281837979,04
304,2020-05-01,CABA,546.0,17.0,-34.6144934119689,-58.4458563545429,05
44,2020-05-01,Buenos Aires,577.0,16.0,-36.6769415180527,-60.55883198157189,05
549,2020-05-01,Chaco,62.0,4.0,-26.3864309061226,-60.76583074386029,05
1414,2020-05-01,La Pampa,3.0,1.0,-37.1315537735949,-65.4466546606951,05
924,2020-05-01,Córdoba,153.0,2.0,-32.142932663607,-63.8017532741662,05
1613,2020-05-01,Mendoza,24.0,1.0,-34.6298873058957,-68.58312281837979,05
925,2020-05-02,Córdoba,129.0,3.0,-32.142932663607,-63.8017532741662,05
1097,2020-05-02,Entre Ríos,12.0,2.0,-32.0588735436448,-59.2014475514635,05
1870,2020-05-02,Neuquén,18.0,1.0,-38.641757582459896,-70.1185705180601,05
305,2020-05-02,CABA,377.0,8.0,-34.6144934119689,-58.4458563545429,05
45,2020-05-02,Buenos Aires,469.0,9.0,-36.6769415180527,-60.55883198157189,05
550,2020-05-02,Chaco,66.0,4.0,-26.3864309061226,-60.76583074386029,05
2007,2020-05-03,Río Negro,19.0,1.0,-40.4057957178801,-67.229329893694,05
306,2020-05-03,CABA,434.0,9.0,-34.6144934119689,-58.4458563545429,05
1614,2020-05-03,Mendoza,13.0,2.0,-34.6298873058957,-68.58312281837979,05
2179,2020-05-03,Salta,1.0,2.0,-24.2991344492002,-64.8144629600627,05
551,2020-05-03,Chaco,64.0,3.0,-26.3864309061226,-60.76583074386029,05
46,2020-05-03,Buenos Aires,499.0,16.0,-36.6769415180527,-60.55883198157189,05
552,2020-05-04,Chaco,63.0,3.0,-26.3864309061226,-60.76583074386029,05
926,2020-05-04,Córdoba,195.0,3.0,-32.142932663607,-63.8017532741662,05
47,2020-05-04,Buenos Aires,551.0,11.0,-36.6769415180527,-60.55883198157189,05
307,2020-05-04,CABA,429.0,11.0,-34.6144934119689,-58.4458563545429,05
2008,2020-05-04,Río Negro,26.0,2.0,-40.4057957178801,-67.229329893694,05
1098,2020-05-05,Entre Ríos,9.0,2.0,-32.0588735436448,-59.2014475514635,05
927,2020-05-05,Córdoba,146.0,2.0,-32.142932663607,-63.8017532741662,05
553,2020-05-05,Chaco,70.0,1.0,-26.3864309061226,-60.76583074386029,05
48,2020-05-05,Buenos Aires,580.0,7.0,-36.6769415180527,-60.55883198157189,05
1784,2020-05-05,Misiones,1.0,1.0,-26.8753965086829,-54.6516966230371,05
308,2020-05-05,CABA,492.0,6.0,-34.6144934119689,-58.4458563545429,05
